img1_path,img2_path,label
images\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,images\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,1
images\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,images\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,1
images\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,images\Aaron_Sorkin\Aaron_Sorkin_0002.jpg,1
images\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg,images\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg,1
images\Abdullah\Abdullah_0001.jpg,images\Abdullah\Abdullah_0003.jpg,1
images\Abdullah\Abdullah_0002.jpg,images\Abdullah\Abdullah_0004.jpg,1
images\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg,images\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg,1
images\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.jpg,images\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg,1
images\Abel_Pacheco\Abel_Pacheco_0001.jpg,images\Abel_Pacheco\Abel_Pacheco_0004.jpg,1
images\Abel_Pacheco\Abel_Pacheco_0003.jpg,images\Abel_Pacheco\Abel_Pacheco_0004.jpg,1
images\Adam_Sandler\Adam_Sandler_0001.jpg,images\Adam_Sandler\Adam_Sandler_0003.jpg,1
images\Adam_Sandler\Adam_Sandler_0001.jpg,images\Adam_Sandler\Adam_Sandler_0004.jpg,1
images\Adam_Sandler\Adam_Sandler_0002.jpg,images\Adam_Sandler\Adam_Sandler_0004.jpg,1
images\Adam_Scott\Adam_Scott_0001.jpg,images\Adam_Scott\Adam_Scott_0002.jpg,1
images\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0001.jpg,images\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0003.jpg,1
images\Ahmed_Chalabi\Ahmed_Chalabi_0002.jpg,images\Ahmed_Chalabi\Ahmed_Chalabi_0004.jpg,1
images\Ai_Sugiyama\Ai_Sugiyama_0002.jpg,images\Ai_Sugiyama\Ai_Sugiyama_0004.jpg,1
images\Aicha_El_Ouafi\Aicha_El_Ouafi_0001.jpg,images\Aicha_El_Ouafi\Aicha_El_Ouafi_0003.jpg,1
images\Aicha_El_Ouafi\Aicha_El_Ouafi_0002.jpg,images\Aicha_El_Ouafi\Aicha_El_Ouafi_0003.jpg,1
images\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0001.jpg,images\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0003.jpg,1
images\Akhmed_Zakayev\Akhmed_Zakayev_0001.jpg,images\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1
images\Akhmed_Zakayev\Akhmed_Zakayev_0002.jpg,images\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1
images\Al_Gore\Al_Gore_0001.jpg,images\Al_Gore\Al_Gore_0003.jpg,1
images\Alan_Ball\Alan_Ball_0001.jpg,images\Alan_Ball\Alan_Ball_0002.jpg,1
